"lifeStage","reps"
"Stage of Incubation - 1st",$1.00
"stagnate deserted",$1.00
"stained",$2.00
"Stale",$43.00
"Stale And Abandoned",$1.00
"Stale- incomplete set",$1.00
"stale& slight",$1.00
"staminate",$8.00
"Stared",$1.00
"Staring to show blood",$1.00
"start",$14.00
"Started",$6053.00
"""started""",$1.00
"started - advanced",$1.00
"Started - showing blood",$1.00
"started & fresh",$1.00
"Started ( 1 infertile)",$1.00
"Started (1); well started (2); a",$1.00
"started (1/4)",$4.00
"Started (-1/4)",$1.00
"started (1/8)",$4.00
"started (3 day)",$1.00
"started (3-5 days)",$1.00
"Started (4)",$1.00
"started (about 1/2)",$1.00
"started (about 1/5)",$1.00
"Started (blood)",$1.00
"started (ea. 1/8)",$1.00
"Started 1/2 inc.",$1.00
"started 1/3",$1.00
"Started 1/4",$2.00
"Started 2 infertile",$1.00
"Started 26 May 1987",$1.00
"started 3 days",$3.00
"Started 4-6 days",$1.00
"Started about  (1/3)",$1.00
"started and 3 days",$1.00
"started and 3 fresh",$1.00
"started and addled",$1.00
"Started and fresh",$1.00
"Started and fresh (2)",$1.00
"started and hatched",$1.00
"started and trace",$1.00
"Started And Two Days",$1.00
"Started blood traces",$1.00
"Started bloody",$3.00
"Started- bloody yellow",$1.00
"started in 4",$1.00
"Started in all",$9.00
"started in all but two eggs",$1.00
"started in all eggs",$1.00
"Started in inc.",$1.00
"started in one, considerable in",$1.00
"Started in some eggs",$1.00
"Started in some, others fresh",$1.00
"Started in some.",$1.00
"started in some. 2 fresh. Probab",$1.00
"started in three of the four egg",$1.00
"Started in two eggs",$1.00
"Started Jelley",$1.00
"Started just",$2.00
"Started- obviously the work of t",$2.00
"started one fourth",$1.00
"Started or well started",$1.00
"started slight",$1.00
"started slightly",$2.00
"Started to 1/2",$2.00
"started to 3/4",$1.00
"Started to adv.",$1.00
"started to advanced",$3.00
"started to fresh",$1.00
"started to half",$1.00
"started to over 1/3",$1.00
"Started to sit",$1.00
"Started well",$2.00
"started yesterday (23)",$1.00
"started, 1 infertile",$2.00
"started, 2 infertile",$1.00
"Started, 3-5 days",$1.00
"Started, But Slight",$1.00
"Started, eyes formed.",$1.00
"started, infertile",$1.00
"Started, One Fresh",$2.00
"started, slight",$1.00
"started.",$23.00
"started. 2 more than others",$1.00
"Started. About fresh to several",$1.00
"Started. About half.",$1.00
"started; 1 fresh",$4.00
"Started; 1 fresh.",$1.00
"started; 2 fresh",$1.00
"started; 3/4 incubated",$1.00
"started; about 1/4 along",$1.00
"Started; bloody",$1.00
"Started; infertile",$1.00
"Started; one egg only was fertil",$1.00
"started-bloody",$1.00
"Started-nest empty on the 29th &",$1.00
"starteed",$1.00
"Starterd",$3.00
"Starting",$24.00
"starting to dicompose",$1.00
"Stated",$1.00
"sterile",$8272.00
"sterile - probably sat upon 5 da",$1.00
"Sterile (?)",$1.00
"sterile to 1/3",$1.00
"Stillborn",$46.00
"stillborn calf",$1.00
"Stillborn twin",$2.00
"stillborn with egg sac",$6.00
"stillborn with yolk sac",$1.00
"STOMACH ONLY",$2.00
"stopped often begun",$1.00
"Striclty fresh eggs!",$1.00
"strictly fresh",$45.00
"Strictly fresh, All fresh",$1.00
"strobilocercus",$21.00
"strong",$2.00
"Stuffed",$1.00
"Sub",$187.00
"sub ad",$11.00
"Sub Ad.",$2.00
"Sub adult",$21.00
"SUB ADULT BY PLUMAGE",$5.00
"SUB ADULT,",$1.00
"sub(?)adult",$1.00
"Sub?",$2.00
"subad",$140.00
"sub-ad",$2.00
"subad (2 yr)",$1.00
"Subad.",$52.00
"Subad.-Ad.",$2.00
"Subad?",$3.00
"subadt",$1.00
"subadult",$16619.00
"Sub-adult",$650.00
"subadult - 1 year",$1.00
"subadult - 2 years",$2.00
"Subadult - 2 yr old",$1.00
"subadult - 6 years",$1.00
"subadult (?)",$3.00
"sub-adult (17 days)",$1.00
"subadult (1st winter)",$1.00
"sub-adult (28 days)",$1.00
"sub-adult (29 days)",$1.00
"sub-adult (32 days)",$1.00
"sub-adult (33 days)",$2.00
"sub-adult (34 days)",$1.00
"sub-adult (36 days)",$1.00
"sub-adult (37 days)",$2.00
"sub-adult (40 days)",$1.00
"sub-adult (44 days)",$3.00
"sub-adult (46 days)",$2.00
"sub-adult (49 days)",$1.00
"sub-adult (53 days)",$2.00
"sub-adult (53days)",$1.00
"Subadult ?",$10.00
"sub-adult ?",$2.00
"subadult \ adult",$6.00
"SUBADULT BY PLUMAGE",$5.00
"subadult juvenile",$1.00
"sub-adult male, 1 male, 4 immatures",$1.00
"subadult male, Liver Tissue take",$1.00
"subadult subadult",$2.00
"subadult(s)",$10.00
"SUBADULT,",$1.00
"Subadult, liver tissue taken",$1.00
"SUBADULT, SKULL OSSIFIED",$4.00
"subadult.",$6.00
"Subadult/Adult",$164.00
"sub-adult/adult?",$1.00
"Subadult/Larva",$1.00
"Subadult/Larvae",$1.00
"subadult; 1st yr. ?",$1.00
"subadult; by skull characters",$3.00
"subadult; ca 1.5 yr",$1.00
"subadult; Immature",$2.00
"subadult; juvenile",$14.00
"Sub-adult; skull not completely",$1.00
"subadult; subadult",$1.00
"subadult?",$22.00
"sub-adult?",$2.00
"Subadulte",$155.00
"subadultes",$1.00
"Subadultt",$1.00
"Subdult",$1.00
"Subimago",$22.00
"subimago and larval exuviae",$1.00
"subimago female",$3.00
"subimago unsexed",$5.00
"subimagos",$2.00
"subjuv��nile",$1.00
"subshrub",$1.00
"Successful",$2.00
"Suckling",$1.00
"suco",$2.00
"suffrutescent perennial",$1.00
"Suggestion",$1.00
"suggestion of embryos",$3.00
"Suggestion seen in 2 & fresh",$1.00
"sure",$14.00
"surely begun",$1.00
"suspected adult",$23.00
"suspected juvenile",$16.00
"suspected yearling",$6.00
"sv. leg",$1.00
"Sv. legare",$1.00
"SVL 181 mm, tail 67 mm",$1.00
"SVL 449 mm, Tail 770 mm, 1979g",$1.00
"sy",$1916.00
"SY (14-19mo)",$2.00
"SY (1yr old)",$1.00
"SY ?",$14.00
"sy by plumage",$1.00
"SY imm",$61.00
"SY or TY imm",$1.00
"SY/TY",$5.00
"SY?",$29.00
"SYM",$1.00
"symplex",$70.00
"t",$1.00
"T.h.",$1.00
"T39NR12ES3SWSW",$1.00
"T41NR22ES4",$1.00
"tacon de descente",$1.00
"tad & juv",$12.00
"TADPOLE",$1565.00
"tadpole raised from egg",$1.00
"tadpole stage",$2.00
"Tadpole/Metamorphs",$5.00
"Tadpoles",$1834.00
"TADPOLES AND ADULTS",$2.00
"TADPOLES AND EGGS",$2.00
"Tadpoles and Metamorphs",$6.00
"TADPOLES AND TRANSFORMING",$2.00
"TADPOLES OR TRANSFORMING",$4.00
"Tadpoles, metamorph",$1.00
"Tadpoles/Eggs",$6.00
"Tadpoles/metamorph",$1.00
"Tadpoles/metamorphs",$10.00
"Taken",$1.00
"Taken at midnight!",$1.00
"taken from oviduct",$1.00
"Taken out of bird.",$1.00
"Taken place",$3.00
"Taken when bird began to sit",$1.00
"taking place",$1.00
"Teeth Well Worn",$1.00
"ten - twelve days",$1.00
"Ten days",$33.00
"Ten days.",$2.00
"teneral",$292.00
"teneral + exuviae",$26.00
"teneral + exuviae + nymph",$1.00
"teneral adult",$1.00
"teneral, puparium",$2.00
"Tens days",$1.00
"Term embryos",$7.00
"terminal",$2.00
"terminal; subterminal;;",$1.00
"Termitophile",$1.00
"Termitophiles",$1.00
"Tern 1/4; Grebe 1/3",$1.00
"Tern 1/4; Grebe 1/4",$1.00
"Tested fresh",$1.00
"Tested fresh, but they lied.",$1.00
"Testes 1 x 1 mm",$1.00
"TESTES 3 X 8 MM",$1.00
"tetard st.27",$1.00
"Tetrasporangial",$16.00
"Tetrasporic",$34.00
"tetrathyridia",$52.00
"tetrathyridium",$30.00
"Th",$1.00
"The egg was dented when picked u",$1.00
"The eggs were fresh. Incubation",$1.00
"the eyes and soft bones of the e",$1.00
"The eyes of the chick were forme",$2.00
"The last egg was laid around Feb",$1.00
"the yolks almost filled with blo",$1.00
"Thick (nest deserted)",$1.00
"Thick, bloody yolks",$1.00
"thin-shelled eggs, hatched and d",$4.00
"third",$19.00
"Third clutch; no development, pr",$1.00
"Third summer",$1.00
"Third winter",$6.00
"third year",$83.00
"Third year (plumage)",$3.00
"Third.",$1.00
"This egg lay about 35cm outside",$1.00
"This pair was observed to incuba",$1.00
"This species rarely fruits in U. S. A.",$1.00
"Three  young hatched in wild.",$2.00
"Three- 1/3, Two- fresh.",$1.00
"three 1/4 advanced, one 1/3 adva",$1.00
"Three 20 Day Old Chicks",$1.00
"Three 28 Day Old Chicks",$2.00
"Three 29 Day Old Chicks",$1.00
"Three 30 Day Old Chicks",$1.00
"Three advanced",$1.00
"three advanced more than one-thi",$1.00
"Three advanced, two infertile",$1.00
"Three Days",$79.00
"three days (slight)",$1.00
"Three Days Incubated",$9.00
"Three daysd incubated",$1.00
"Three egg bloodshot, one egg fre",$1.00
"Three egg- well advanced, 1 egg-",$1.00
"Three eggs 2/3, two eggs started",$1.00
"Three eggs about 10 days, one ro",$1.00
"Three eggs alive, one egg early",$1.00
"Three eggs hatched",$2.00
"Three eggs hatched & fledged",$1.00
"Three eggs hatched from three eg",$1.00
"Three eggs hatched in wild from",$1.00
"Three eggs hatched in wild.",$3.00
"Three eggs hatched in wild; one",$1.00
"Three eggs infertile or addled;",$1.00
"Three eggs infertile, two others",$1.00
"Three embryos complete, one part",$1.00
"Three female & one male hatched",$1.00
"Three forths",$1.00
"Three Fourths",$10.00
"Three fresh, two just started",$1.00
"Three fresh; 1 slight",$1.00
"Three of the eggs were in nest A",$1.00
"three or four days",$7.00
"Three or four days from hatchlin",$1.00
"Three quarters",$9.00
"three weeks",$1.00
"Three weeks or more",$1.00
"three well advanced the others a",$1.00
"Three young hatched in wild",$2.00
"Three young hatched in wild.",$9.00
"Three young hatched in wild. Pre",$1.00
"Three young hatched.",$1.00
"Three young observed in this nes",$1.00
"Three-fourths",$17.00
"three-fourths advanced",$2.00
"Three-fourths Incubated",$3.00
"three-fouths",$1.00
"Tiny embryo",$2.00
"tiny embryos",$15.00
"TISSUE AND PHOTO ONLY",$21.00
"Tissue at LSU",$5.00
"TISSUE SAMPLES IN 95%",$2.00
"tissue taken (DGM)",$1.00
"Tissue- ventrolateral scale clip",$1.00
"Tissue-Liver sample",$6.00
"Tissue-Liver sample taken",$2.00
"Tissue-liver, blood ASU & UTEP",$1.00
"Tissue-retrolateral scaleclip ta",$1.00
"Tissues",$3.00
"Tissue-scale clip",$3.00
"Tissue-scale clip taken",$1.00
"Tissue-scale clips",$2.00
"Tissue-tail tip",$5.00
"Tissue-Tail tip taken",$2.00
"TL:Br; WCH:103mm; TS:21.3mm; CUL",$1.00
"to blood",$5.00
"To blood in all",$1.00
"to blood in each.",$1.00
"to blood in three & others fresh",$1.00
"to blood.",$1.00
"toadlet",$1.00
"toadlets",$2.00
"Tom-",$1.00
"Too badly incubated",$1.00
"too incubated to be saved",$1.00
"top; bottom",$1.00
"topotype",$6.00
"tough + bloody",$1.00
"Tough embroyos",$1.00
"Tough Embryos",$2.00
"Tough embryos, one infertile",$1.00
"Towhee very advanced; Cowbird sl",$1.00
"tr.-av.",$1.00
"Trace",$1418.00
"trace - addled",$1.00
"trace - advanced",$1.00
"trace - slight",$1.00
"trace & 1/4",$1.00
"trace (3 days)",$1.00
"Trace (blood)",$1.00
"trace (nest held 2 eggs on april",$1.00
"trace blood",$2.00
"Trace embryos",$1.00
"trace embryos, 1 unfertile",$2.00
"trace in 1 & fresh",$1.00
"trace in 1, remainder fresh",$1.00
"Trace In 2",$2.00
"Trace in 2 eggs",$2.00
"Trace in 3 & fresh",$1.00
"Trace In 3 Eggs",$2.00
"trace in 3, 2 fresh",$1.00
"Trace in 4 eggs",$1.00
"Trace in 4-1 infertile",$1.00
"trace in all",$1.00
"trace in all 4 eggs",$1.00
"Trace in all eggs",$1.00
"trace in all eggs.",$1.00
"trace in both eggs",$1.00
"Trace in both eggs.",$1.00
"Trace in one & fresh",$3.00
"trace in one and fresh",$1.00
"Trace in one egg",$2.00
"trace in one egg. (One egg taken",$1.00
"trace in one or two eggs; incuba",$1.00
"trace in some, mainly fresh",$1.00
"trace in some--1 day",$1.00
"Trace in three eggs",$2.00
"Trace in three eggs.",$1.00
"trace inc.",$1.00
"Trace Of Blood",$31.00
"Trace Of Blood & Very Small Embr",$2.00
"trace of blood and very sm. embr",$1.00
"Trace of blood in 1; others fres",$1.00
"Trace Of Blood In All",$1.00
"Trace of Blood in Two",$1.00
"trace of blood, all 3 eggs",$1.00
"Trace Of Blood, Very Small Embry",$1.00
"Trace Of Blood,small&very Small",$1.00
"Trace of Blood: 1,3,5,6,7; Fresh",$1.00
"Trace Of Blood>small Embryo",$1.00
"Trace Of Blood>very Small Embryo",$1.00
"Trace of embryo",$4.00
"trace of embryos",$6.00
"trace of embryos, 1 infertile",$1.00
"trace of embryos, 2 unfertile",$1.00
"Trace of medium",$1.00
"trace of red",$62.00
"trace of red - 2 days",$1.00
"Trace of red in 1 & fresh",$1.00
"trace of red in 2, 2 fresh",$1.00
"Trace of red in all",$1.00
"trace of red to small embryos",$1.00
"Trace of red.",$2.00
"Trace only",$1.00
"Trace or small embryos.  Incubat",$1.00
"Trace red, some infertile",$1.00
"trace to 1/4",$2.00
"Trace to advanced",$3.00
"trace to begun",$1.00
"trace to fair embryos",$1.00
"trace to fresh",$1.00
"Trace To Just Started",$1.00
"trace to slight",$2.00
"trace to slightly",$1.00
"Trace to small embryos",$3.00
"trace to started",$2.00
"Trace to trace of embryo",$2.00
"Trace to well begun",$3.00
"Trace to well started",$1.00
"trace, 1 fresh",$1.00
"trace, 2 days",$1.00
"Trace, eggs missing",$1.00
"trace, fresh",$1.00
"trace.",$29.00
"trace; 1 fresh",$1.00
"Trace-fresh",$1.00
"Traces",$24.00
"traces in all",$2.00
"Traces of blood",$20.00
"traces of blood - 4 days",$1.00
"traces of blood in all",$1.00
"Traces of blood in two eggs only",$1.00
"Traces of blood, red male caught",$1.00
"Traces of embryos",$1.00
"Traces of incubation were barely",$1.00
"Trans juvenile - adult.",$1.00
"transform��",$1.00
"Transformed",$3.00
"Transformed or nearly so",$78.00
"Transformer stage 1",$1.00
"Transformer stage 2",$2.00
"Transformer stage 3",$1.00
"Transformer stage 4",$3.00
"Transformer stage 5",$2.00
"Transformer stage 6",$2.00
"Transformer stage 6 -> 7",$1.00
"Transformer stage 6 or 7",$1.00
"Transformer stage 6 to 7",$1.00
"TRANSFORMING",$614.00
"TRANSFORMING AMMOECET",$2.00
"Transforming larva",$24.00
"TRANSFORMING""PREJUVENILE""",$1.00
"transition from juv. to adult",$1.00
"transition to adult male",$1.00
"transitional Juv-basic 2",$1.00
"transitional plumage",$3.00
"transitional/dev.;;",$1.00
"TRASFORMING",$5.00
"tree",$5.00
"Tree mosses rarely ever fruit!",$1.00
"Trees Juvenile",$1.00
"tres advancee",$1.00
"tres incubes",$1.00
"Trifling",$1.00
"trilobite",$6.00
"Triplet conjoined embryos",$1.00
"tritonymph",$482.00
"trophozoite",$5.00
"Trophozoites",$8.00
"True",$1.00
"TS:15.55; TL:56.45; TL:57.5; BL:",$1.00
"TS:19.20mm; WCH:94.15mm; CUL:11.",$1.00
"TS:21.2; CTO:15.0; TL:49.4; WCH:",$1.00
"t��tard",$24760.00
"t��tard �� la m��t",$1.00
"t��tard / imago",$17.00
"t��tard / larve",$51.00
"t��tard 2 pattes",$21.00
"t��tard 3 pattes",$1.00
"t��tard 4 pattes",$31.00
"T��tard DP",$14.00
"t��tard g��ant",$2.00
"T��tard hybride",$1.00
"t��tard J1",$5.00
"t��tard QP",$9.00
"t��tard QP imago",$26.00
"t��tard st.25",$1.00
"t��tard st.36",$1.00
"t��tard st.40",$2.00
"t��tard st.42",$1.00
"t��tard stade 25",$14.00
"t��tard stade 26",$44.00
"t��tard stade 27",$9.00
"t��tard stade 28",$24.00
"t��tard stade 29",$43.00
"t��tard stade 30",$12.00
"t��tard stade 31",$16.00
"t��tard stade 32",$7.00
"t��tard stade 33",$1.00
"t��tard stade 34",$6.00
"t��tard stade 35",$11.00
"t��tard stade 36",$14.00
"t��tard stade 37",$7.00
"t��tard stade 38",$1.00
"t��tard stade 39",$1.00
"t��tard stade 40",$2.00
"t��tard stade 41",$7.00
"t��tard stade 42",$1.00
"t��tard stade 43",$2.00
"t��tard stade 46",$2.00
"t��tard stade 47",$5.00
"t��tard, imagos",$1.00
"T��tards & imago",$91.00
"t��tards /imagos",$4.00
"t��tards + imago",$20.00
"t��tards + juv��n",$1.00
"t��tards et oeuf",$1.00
"T��tards QP et",$18.00
"t��tards, imago",$1.00
"t��tards, imagos",$119.00
"tube",$6.00
"tun",$23.00
"Turning",$43.00
"Turning 1/2",$1.00
"Twelve days",$4.00
"two - 1/4. two - 1/3",$1.00
"Two 1/3, One 1/4",$1.00
"Two 18 Day Old Chicks",$1.00
"Two 20 Day Old Chicks",$1.00
"Two 21 days old young banded",$1.00
"Two 25 Day Old Chicks",$1.00
"Two 26 Day Old Chicks",$1.00
"Two 27 Day Old Chicks",$1.00
"Two 28 Day Old Chicks",$1.00
"Two about 1/3. One about 1/4",$2.00
"Two about 1/4. One about 1/3",$1.00
"Two addled and one 3/4",$1.00
"Two addled eggs + fragments",$1.00
"Two addled eggs collected; two o",$1.00
"two addled, one advanced three-f",$1.00
"Two begun; 3 infertile",$1.00
"two chicks",$1.00
"Two Chicks 25 Days Old",$1.00
"Two Day",$1.00
"Two Day(s)",$1.00
"two days",$70.00
"Two days advanced",$1.00
"Two Days Incubated",$10.00
"Two days on last egg",$1.00
"Two eggs advanced and two fresh",$1.00
"Two eggs advanced; four fresh",$1.00
"Two eggs already broken when col",$1.00
"Two eggs apparently fresh and tw",$1.00
"Two eggs far advanced and two we",$1.00
"Two eggs fresh, two eggs trace",$1.00
"Two eggs had embryos forming, on",$1.00
"Two eggs hatched & fledged",$1.00
"Two eggs hatched & fledged.",$1.00
"Two eggs hatched & fledged; thir",$1.00
"Two eggs hatched in wild; there",$1.00
"two eggs infertile one 4/5",$1.00
"Two eggs infertile, two eggs unk",$1.00
"Two eggs just started. One egg 3",$1.00
"two eggs last Sunday",$1.00
"Two eggs nearly fresh, two consi",$1.00
"two eggs perfectly fresh (2 of t",$1.00
"Two eggs were laid in this nest",$1.00
"Two eyases of unkown sex produce",$1.00
"Two fresh & two with small red s",$1.00
"Two fresh and 3 slightly incubat",$1.00
"Two fresh, one just started, one",$1.00
"Two fresh, two started",$1.00
"Two fresh. Four about 1/4 advanc",$1.00
"Two Fresh: Two Commenced",$1.00
"Two Fresh; 3 Begun",$1.00
"Two fresh; one nearly",$1.00
"Two fresh; one with visible embr",$1.00
"Two Fresh; Three Started",$1.00
"two fresh; two slight",$1.00
"Two fresh; two started",$2.00
"two fresh-4 started",$1.00
"two half, two addled",$1.00
"Two Hatched",$1.00
"Two Hatching And One Intact Egg",$1.00
"Two having thick whites and bloo",$1.00
"two infert.; two hard(?) embryos",$1.00
"Two nestlings hatched 6 May; kil",$1.00
"two newly hatched",$1.00
"Two of four eggs hatched.",$1.00
"Two of the eggs incubation advan",$1.00
"two or three days",$4.00
"Two Ready To Fledge",$1.00
"Two rotted, One piped",$1.00
"two rotted, three fresh",$1.00
"Two sets of fragments from nest;",$1.00
"Two showing blood; one small emb",$1.00
"Two Slight And Two Addled",$1.00
"Two slight; 2 infertile",$1.00
"Two slight; two advanced",$1.00
"Two slightly; 1 badly incubated",$1.00
"TWO SMALL SKULL WINDOWS",$1.00
"two third",$1.00
"Two thirds",$58.00
"Two Thirds Advanced",$1.00
"two thirds incubated",$7.00
"Two thirds or more.",$2.00
"two thirds, two infertile",$1.00
"Two thirds. One addled",$1.00
"Two thirds; 1 infertile",$3.00
"two thirds; one infertile",$1.00
"two thirds; two infertile",$1.00
"two very bad",$1.00
"two weeks",$22.00
"Two weeks advanced",$1.00
"Two weeks.",$7.00
"Two years old",$1.00
"Two young directly fostered.",$1.00
"Two young fledged",$2.00
"Two young fledged, one egg addle",$1.00
"Two Young Fledged, One Was Colle",$1.00
"Two young hatched & fledged in w",$1.00
"Two young hatched in wild",$1.00
"Two young hatched in wild.",$5.00
"Two young hatched in wild. Frag",$1.00
"Two young, 14-15 days of age",$1.00
"Twoo eyases fledged from eyrie,",$1.00
"Two-Third",$2.00
"Two-thirds",$51.00
"Two-thirds Advanced",$3.00
"two-thirds advanced- one inferti",$1.00
"two-thirds complete",$1.00
"two-thirds hatched",$1.00
"two-thirds incubated",$15.00
"Two-thirds incubated; 1 infertil",$2.00
"Two-thirds incubated; 2 infertil",$1.00
"Two-thirds; 1 infertile",$2.00
"""TYPE""",$1.00
"type (fragment)",$1.00
"U",$22557.00
"U-",$12.00
"U.Ad.",$16.00
"u.slight",$1.00
"U; S.N.O.",$1.00
"U-1St Summer",$12.00
"U-1St Summer?",$1.00
"U-1St Winter",$18.00
"U-1St Year",$65.00
"U-1St Year-Ad.",$2.00
"U-1St Yr?",$1.00
"U-A.",$2.00
"U-Ad",$3997.00
"U-Ad Very Old",$1.00
"U-Ad.",$62731.00
"U-Ad.: S.F.O.",$2.00
"U-Ad.; Imm.",$1.00
"U-Ad.; Oss.",$1.00
"U-Ad.; S.F.O.",$13.00
"U-Ad.; S.N.O.",$1.00
"U-Ad.; S.N.Os.",$1.00
"U-Ad.; S.N.Q.F.O",$1.00
"U-Ad.; S.O.",$5.00
"U-Ad.; S.Os.",$1.00
"U-Ad.; Sk. Adult",$1.00
"U-Ad.; Sk. Oss.",$1.00
"U-Ad.; Sk. Soft",$2.00
"U-Ad.; Sk.F.O.",$2.00
"U-Ad.; Sk.F.Os.",$1.00
"U-Ad.; Sk.F.Oss.",$2.00
"U-Ad.; Sk.N.F.O.",$1.00
"U-Ad.; Sk.N.Os.",$1.00
"U-Ad.; Sk.Os.",$7.00
"U-Ad.; Sk.Oss.",$11.00
"U-Ad.; Sk.Unos.",$2.00
"U-Ad.;S.N.O.",$2.00
"U-Ad.;S.O.",$10.00
"U-Ad.;Sk.Oss.",$2.00
"U-Ad.;Skull Os.",$1.00
"U-Ad.;Skull Oss",$1.00
"U-Ad.;Skull Oss.",$4.00
"U-Ad?",$10.00
"U-Adult",$19.00
"U-At Least 11Yr",$1.00
"UAZ egg clutch 3, 1967",$1.00
"UC1201256",$1.00
"U-Chick",$6.00
"Ud",$1.00
"U-Downy-Juv.",$5.00
"��uf",$32.00
"U-Fledgling",$24.00
"��ufs",$1.00
"U-Imm",$316.00
"U-Imm.",$1509.00
"U-Imm.; S.P.O.",$1.00
"U-Imm.; Sk.N.Os.",$1.00
"U-Imm.; Sk.P.Os.",$1.00
"U-Imm.; Sk.Unos.",$2.00
"U-Imm.;Sk.Imm.",$1.00
"U-Imm?",$6.00
"U-Immature",$5.00
"U-Juv",$76.00
"U-Juv.",$1377.00
"U-Juv.; Sk.Unos.",$2.00
"U-Juv.; Sk.Unoss",$4.00
"U-Juv.-1St Year",$1.00
"U-Juv.-Imm.",$1.00
"U-Juv?",$2.00
"U-Juv-Ad.",$3.00
"Uknown",$5.00
"Ultimate instar; Wings Alatoid",$78.00
"Ultimate instar; Wings Aptera",$49.00
"Ultimate instar; Wings Unknown",$5.00
"unborn",$13.00
"uncertain",$44.00
"uncertain & hatched",$1.00
"uncertain-pre 1980",$1.00
"Under way",$1.00
"underway",$1.00
"undetermined",$2939.00
"unequal",$1.00
"U-Nesting",$1.00
"U-Nestling",$68.00
"uneven",$1.00
"uneven, 1/4 to 1/2",$2.00
"Uneven, fresh to 1/2",$2.00
"Uneven, slight to 1/2",$1.00
"Uneven, slight to 1/3",$1.00
"uneven, up to 3/4",$1.00
"uneven; advanced about from five",$1.00
"Unevenly advanced",$2.00
"unfertile",$2.00
"unfertile (stale)",$1.00
"Unfresh",$4.00
"unge",$1.00
"unge <1 ��r",$4.00
"unge 1 ��r",$7.00
"Unhatched (depredated?) shell",$1.00
"Unhatched chick",$1.00
"Unhatched eggs",$1.00
"uniformly one-third advanced",$1.00
"unincubated",$7.00
"Unincubated And Slightly Addled",$1.00
"unincubated?",$1.00
"United States",$247.00
"United States of America",$6.00
"unk",$947.00
"unknown",$292864.00
"Unknown If Fertile (3 Broken)",$1.00
"Unknown, nest abandoned",$1.00
"Unknown: egg cracked open and dr",$1.00
"Unknown; from prior year",$1.00
"Unknown; specimens dried",$9.00
"unossified",$7.00
"unossified; Immature",$1.00
"Unpaired female",$1.00
"unsorted",$1.00
"Unspecified",$831.00
"unstaged tadpole",$2.00
"unstaged tadpoles",$9.00
"Unsuccessful",$1.00
"unusually even small embryos",$1.00
"up to 25%",$1.00
"U-S.A.",$49.00
"USA",$97.00
"U-Subad",$34.00
"U-Subad.",$28.00
"U-Ud.",$5.00
"V",$44.00
"v. heary -- large embryos",$1.00
"v. heavily incubated",$1.00
"v. heavy",$1.00
"v. large embryos",$5.00
"v. slight",$2.00
"V. slight (1) ? 5days, fresh (1)",$1.00
"v. slight, 1 infertile",$1.00
"v. small embryos",$34.00
"v. small embryos (decomposed)",$1.00
"V.F.A. (see card)",$1.00
"v.h. wic (see card)",$1.00
"V.S. (very slight?)",$1.00
"V: Fresh to Moderate",$1.00
"V; V",$1.00
"Variable",$7.00
"variable - slight",$1.00
"variable (3 days) slight to trac",$1.00
"variable (36 hours) v. slight, t",$1.00
"Variable (From fresh to far adva",$1.00
"variable + advanced",$1.00
"Variable- a trace to slight",$1.00
"variable advanced",$1.00
"variable but all slight",$1.00
"Variable embryo formed",$1.00
"Variable Fresh & Slight",$1.00
"variable fresh and very slight",$1.00
"Variable fresh to slight",$5.00
"Variable fresh to very slight",$2.00
"Variable fresh, slight, moderate",$1.00
"Variable from a trace to slight",$1.00
"Variable from fresh t slight",$1.00
"Variable from fresh to moderate",$4.00
"Variable from fresh to slight",$6.00
"Variable from fresh to slight em",$1.00
"variable from fresh to trace",$1.00
"Variable from fresh to trace emb",$1.00
"Variable from fresh to trace of",$1.00
"variable from med  to fresh",$1.00
"Variable from moderate to consid",$2.00
"Variable from s. to moderate",$2.00
"Variable from slight",$1.00
"Variable from slight to formed e",$1.00
"Variable from slight to moderate",$4.00
"Variable from slight to small em",$1.00
"Variable from slight to trace em",$1.00
"Variable from trace to slight",$3.00
"Variable from very slight to sma",$1.00
"variable moderate",$1.00
"variable- moderate & fresh",$1.00
"Variable slight to small embryos",$2.00
"Variable- slight to trace embryo",$1.00
"variable small embryos",$1.00
"variable small embryos, 1 fresh",$1.00
"Variable to formed embryos",$1.00
"variable to slight",$1.00
"Variable to trace of embryos",$1.00
"Variable trace to fresh ( one da",$1.00
"Variable trace to small embryos",$1.00
"Variable, 2 fresh, 1 slight, 1 m",$1.00
"variable, embryos showing",$1.00
"variable, fresh and very slight",$1.00
"Variable, fresh to slight",$1.00
"Variable, Moderate & Considerabl",$1.00
"variable, slight",$1.00
"Variable, slight to embryos show",$1.00
"Variable, trace and very slight",$1.00
"variable.  F tr 2 v slight",$1.00
"Variable; fresh to red streak",$1.00
"variable_advanced",$1.00
"variable--fresh to moderate",$1.00
"variable-fresh to slight",$1.00
"Variable-see data card",$1.00
"variable-somewhat advanced",$1.00
"varied",$19.00
"varied (2 one-half and 1 badly)",$1.00
"varied 1/3 to fresh",$1.00
"varied from 3 to 8 days",$1.00
"varied from considerable to adva",$1.00
"Varied- see data card",$18.00
"Varied.",$1.00
"varied. Begins with first one la",$1.00
"Varied; bloody",$1.00
"Varied-slight To Very Fresh",$1.00
"Varies",$4.00
"various",$29.00
"various - about half",$1.00
"various - mostly addled, some fr",$1.00
"Various- all started",$1.00
"various instars",$4.00
"Various stages",$8.00
"various stages - 2 eggs were in",$1.00
"various stages - to far advanced",$1.00
